author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
Мегалит–Охта Групп;Застройщик;Sankt-Peterburg;12;25;1;39.04;228688.0;8928000;2024;13.0;13.0;Primorskij;Komendantskij aerodrom;Pionerskaja
Euroinvest Development;Застройщик;Sankt-Peterburg;5;10;1;46.2;400000.0;18480000;2023;12.0;22.0;Moskovskij;Moskovskaja zastava;Frunzenskaja
РосСтройИнвест;Застройщик;Sankt-Peterburg;2;13;1;45.0;185922.0;8366521;2024;15.0;16.0;Primorskij;Juntolovo;Begovaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;5;24;1;37.7;228499.0;8614450;2023;11.0;17.0;Nevskij;Krylenko;Ulitsa Dybenko
Петербургская Строительная Компания;Застройщик;Sankt-Peterburg;3;9;1;51.8;236000.0;12224800;2022;19.0;16.0;Moskovskij;Kievskaja;Frunzenskaja
Euroinvest Development;Застройщик;Sankt-Peterburg;2;11;1;36.61;333960.0;12226276;2024;13.0;12.0;Moskovskij;Syzranskaja;Elektrosila
Росстройинвест;Застройщик;Sankt-Peterburg;3;12;1;35.88;213956.0;7676767;2025;15.0;9.0;Krasnogvardejskij;Poljustrovo;Akademicheskaja
Garnet;Агентство недвижимости;Sankt-Peterburg;19;25;1;43.6;178899.0;7800000;2020;19.0;11.0;Vyborgskij;Zelenogorskaja;Pionerskaja
Группа Аквилон;Застройщик;Sankt-Peterburg;3;12;1;33.92;245677.0;8333384;2024;14.0;10.0;Moskovskij;Zvezdnoe;Zvezdnaja
Группа Эталон;Застройщик;Sankt-Peterburg;2;24;1;43.6;178393.0;7777960;2012;18.0;12.0;Primorskij;Kolomjagi;Komendantskij prospekt
КВС;Агентство недвижимости;Sankt-Peterburg;2;25;1;34.6;173121.0;5990000;2016;17.0;10.0;Krasnosel'skij;Marshala Kazakova;Prospekt Veteranov
КВС;Агентство недвижимости;Sankt-Peterburg;7;27;1;33.8;192307.0;6500000;2021;13.0;12.0;Vyborgskij;Arhitektora Belova;Parnas
Игорь Аболемов;Риелтор;Sankt-Peterburg;1;17;1;37.1;167115.0;6200000;2008;16.0;9.0;Primorskij;Bogatyrskij prospekt;Komendantskij prospekt
Golden Home;Агентство недвижимости;Sankt-Peterburg;20;25;1;43.0;186023.0;7999000;2007;18.0;14.0;Kalininskij;Brjantseva;Grazhdanskij prospekt
КВС;Агентство недвижимости;Sankt-Peterburg;3;9;1;35.5;197183.0;7000000;1970;21.0;6.0;Moskovskij;Lensoveta;Moskovskaja
Прагма;Застройщик;Sankt-Peterburg;20;23;1;43.0;192687.0;8285558;2022;14.0;15.0;Vyborgskij;doroga Ol'ginskaja;Parnas
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;2;25;1;35.22;197300.0;6948906;2024;9.0;15.0;Krasnosel'skij;Jugo-Zapad;Leninskij prospekt
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;2;14;1;40.95;233499.0;9561825;2024;13.0;20.0;Vasileostrovskij;Gavan';Gornyj institut
Euroinvest Development;Застройщик;Sankt-Peterburg;3;12;1;29.52;243000.0;7173360;2025;10.0;9.0;Vyborgskij;Svetlanovskoe;Udel'naja
БФА-Девелопмент;Застройщик;Sankt-Peterburg;2;20;1;33.05;229894.0;7598000;2023;9.0;14.0;Krasnosel'skij;Marshala Zaharova;Avtovo
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;3;18;1;46.1;208000.0;9588800;2023;16.0;23.0;Nevskij;Nevskij;Novocherkasskaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;3;12;1;35.6;222700.0;7928120;2025;10.0;17.0;Krasnogvardejskij;Bol'shaja Ohta;Novocherkasskaja
Росстройинвест;Застройщик;Sankt-Peterburg;2;13;1;38.2;241100.0;9210058;2022;18.0;10.0;Primorskij;Planernaja;Komendantskij prospekt
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;5;15;1;39.43;276100.0;10886623;2023;22.0;5.0;Vasileostrovskij;Gavan';Gornyj institut
Группа Аквилон;Застройщик;Sankt-Peterburg;1;13;1;36.94;191452.0;7072256;2023;16.0;11.0;Primorskij;Planernaja;Komendantskij prospekt
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;10;10;1;32.8;488000.0;16006400;2021;13.0;12.0;Primorskij;Chernaja rechka;Chernaja rechka
ГлавстройСПб;Застройщик;Sankt-Peterburg;2;25;1;35.6;166300.0;5920280;2022;10.0;11.0;Vyborgskij;Parnas;Parnas
ГлавстройСПб;Застройщик;Sankt-Peterburg;1;17;1;32.8;176800.0;5799040;2023;12.0;11.0;Primorskij;Ivinskaja;Begovaja
