author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
494 УНР;Застройщик;Moskva;10;11;1;40.9;353178.0;14445000;2011;;;Schukino;Marshala Rybalko;Panfilovskaja
Этажи Москва;Агентство недвижимости;Moskva;19;19;1;35.0;411428.0;14400000;2020;;8.0;Chertanovo Juzhnoe;Varshavskoe shosse;Lesoparkovaja
ФСК Агент;Агентство недвижимости;Moskva;4;18;1;45.0;322222.0;14500000;2016;18.0;12.0;Babushkinskij;Letchika Babushkina;Babushkinskaja
МИЦ;Застройщик;Moskva;17;21;1;202.0;73038.0;14753810;2023;15.0;12.0;Horoshevo-Mnevniki;3-ja Horoshevskaja;Zorge
Основа;Застройщик;Moskva;13;29;1;43.3;340900.0;14760970;2025;;15.0;Cheremushki;Nametkina;Novye Cheremushki
Владис;Агентство недвижимости;Moskva;3;22;1;39.0;378205.0;14750000;2024;12.0;19.0;Marfino;Akademika Koroleva;Teletsentr
ЕГСН Продажа;Агентство недвижимости;Moskva;12;12;1;39.1;381074.0;14900000;1969;23.0;6.0;Basmannyj;pereulok Poslannikov;Baumanskaja
Основа;Застройщик;Moskva;2;28;1;43.0;345000.0;14835000;2024;;13.0;Golovinskij;Mihalkovskaja;Koptevo
АДН;Агентство недвижимости;Moskva;17;24;1;30.0;493333.0;14800000;2021;;;Danilovskij;prospekt Andropova;ZIL
Этажи Москва;Агентство недвижимости;Moskva;12;23;1;41.0;365853.0;15000000;2021;;24.0;Zapadnoe Degunino;Il'menskij proezd;Seligerskaja
На Петровке;Агентство недвижимости;Moskva;22;26;1;38.7;387596.0;15000000;2024;11.0;17.0;Ostankinskij;Akademika Koroleva;Teletsentr
MR Group;Застройщик;Moskva;4;30;1;202.0;74207.0;14989833;2024;14.0;18.0;Juzhnoportovyj;Volgogradskij prospekt;Volgogradskij prospekt
КРОСТ;Застройщик;Moskva;8;26;1;35.7;419999.0;14994000;2024;;9.0;Schukino;ploschad' Akademika Kurchatova;Oktjabr'skoe pole
ФСК;Застройщик;Moskva;3;29;1;202.0;74108.0;14969920;2025;13.0;5.0;Nagatino-Sadovniki;Varshavskoe shosse;Nagatinskaja
Forma;Застройщик;Moskva;3;29;1;202.0;74582.0;15065734;2025;11.0;13.0;Pechatniki;Juzhnoportovaja;Pechatniki
TimeProperty;Агентство недвижимости;Moskva;35;57;1;31.0;483870.0;15000000;2022;;;Horoshevo-Mnevniki;Narodnogo Opolchenija;Narodnoe Opolchenie
Intermark Real Estate - ранее Savills - городская недвижимость;Агентство недвижимости;Moskva;1;5;1;45.4;334801.0;15200000;1960;27.0;13.0;Fili-Davydkovo;Kutuzovskij prospekt;Kuntsevskaja
Доходный дом;Застройщик;Moskva;6;23;1;42.9;353725.0;15174817;2025;;13.0;Ochakovo-Matveevskoe;;Ozernaja
ПИК;Застройщик;Moskva;2;21;1;41.9;361500.0;15146850;2023;12.0;21.0;Golovinskij;Kronshtadtskij bul'var;Vodnyj stadion
Группа Эталон;Застройщик;Moskva;2;14;1;40.2;376564.0;15137904;2025;;;Danilovskij;;Tehnopark
Бест офис на Таганской;Агентство недвижимости;Moskva;2;5;1;33.5;453731.0;15200000;1917;;5.0;Basmannyj;pereulok Ljalin;Kurskaja
ФСК Агент;Агентство недвижимости;Moskva;2;38;1;39.8;381909.0;15200000;2023;16.0;10.0;Rostokino;Vil'gel'ma Pika;Botanicheskij sad
Этажи Москва;Агентство недвижимости;Moskva;13;20;1;41.6;367788.0;15300000;2010;;11.0;Obruchevskij;Akademika Volgina;Beljaevo
КРОСТ;Застройщик;Moskva;9;19;1;41.5;370000.0;15355000;2024;;14.0;Schukino;Raspletina;Oktjabr'skoe pole
ПИК;Застройщик;Moskva;11;18;1;41.8;365183.0;15264691;2021;13.0;18.0;Ostankinskij;Sel'skohozjajstvennaja;Botanicheskij sad
Century 21 Street Realty;Агентство недвижимости;Moskva;14;37;1;38.0;405263.0;15400000;2021;;;Ramenki;Lobachevskogo;Michurinskij prospekt
ОГРК;Агентство недвижимости;Moskva;15;21;1;41.5;371084.0;15400000;2022;21.0;10.0;Danilovskij;prospekt Lihacheva;Tehnopark
ФСК Агент;Агентство недвижимости;Moskva;25;45;1;37.6;406914.0;15300000;2023;10.0;13.0;Rostokino;Vil'gel'ma Pika;Botanicheskij sad
МИЭЛЬ;Агентство недвижимости;Moskva;9;24;1;55.9;277101.0;15490000;2003;25.0;10.0;Kon'kovo;Ostrovitjanova;Beljaevo
РГ-Девелопмент;Застройщик;Moskva;2;25;1;41.3;377000.0;15570100;2025;15.0;11.0;Savelovskij;Staryj Petrovsko-Razumovskij proezd;Grazhdanskaja
НДВ;Агентство недвижимости;Moskva;33;53;1;33.3;465465.0;15500000;2022;;10.0;Horoshevo-Mnevniki;Narodnogo Opolchenija;Narodnoe Opolchenie
Показал-Продал;Агентство недвижимости;Moskva;13;30;1;38.0;407631.0;15490000;2021;13.0;13.0;Juzhnoportovyj;Volgogradskij prospekt;Ugreshskaja
Cristall Realty;Агентство недвижимости;Moskva;12;17;1;30.0;516666.0;15500000;2000;15.0;6.0;Horoshevo-Mnevniki;Marshala Tuhachevskogo;Mnevniki
ФСК Агент;Агентство недвижимости;Moskva;3;39;1;37.1;419946.0;15580000;2023;14.0;10.0;Rostokino;Vil'gel'ma Pika;Botanicheskij sad
СЕДЬМОЕ НЕБО;Агентство недвижимости;Moskva;9;18;1;42.7;362997.0;15500000;2020;;14.0;Alekseevskij;Novoalekseevskaja;Alekseevskaja
Физическое лицо;Собственник;Moskva;8;12;1;37.0;417729.0;15456000;;;;Tverskoj;2-ja Brestskaja;Majakovskaja
Яна Котова;Риелтор;Moskva;3;14;1;40.2;389303.0;15650000;2022;13.0;16.0;Golovinskij;Pulkovskaja;Vodnyj stadion
MR Group;Застройщик;Moskva;38;54;1;202.0;78600.0;15877395;2025;9.0;3.0;Savelovskij;2-ja Hutorskaja;Dmitrovskaja
Спартак;Застройщик;Moskva;5;14;1;52.92;298563.0;15800000;2023;;;Jasenevo;Novojasenevskij prospekt;Teplyj Stan
Группа Эталон;Застройщик;Moskva;4;35;1;39.6;399113.0;15804901;2026;;;Danilovskij;;Tehnopark
Семь Высоток;Агентство недвижимости;Moskva;6;27;1;37.3;423592.0;15800000;2022;16.0;9.0;Horoshevskij;Zorge;Polezhaevskaja
Этажи Москва;Агентство недвижимости;Moskva;11;25;1;48.0;331250.0;15900000;2015;;12.0;Mitino;Mitinskaja;Mitino
Sminex-Интеко;Застройщик;Moskva;14;26;1;36.49;437380.0;15960000;2024;11.0;17.0;Marfino;Akademika Koroleva;Butyrskaja
Etagi Prime;Агентство недвижимости;Moskva;9;20;1;43.0;372093.0;16000000;2020;;14.0;Alekseevskij;Novoalekseevskaja;
Владис;Агентство недвижимости;Moskva;15;24;1;44.2;359728.0;15900000;2022;33.0;6.0;Cheremushki;Nahimovskij prospekt;Profsojuznaja
ФСК Агент;Агентство недвижимости;Moskva;8;25;1;37.4;427807.0;16000000;2023;13.0;10.0;Horoshevo-Mnevniki;Shenogina;Horoshevo
ФСК Агент;Агентство недвижимости;Moskva;10;46;1;37.6;425531.0;16000000;2023;14.0;10.0;Obruchevskij;Akademika Volgina;Kaluzhskaja
ФСК Агент;Агентство недвижимости;Moskva;9;28;1;36.7;433242.0;15900000;2023;15.0;10.0;Obruchevskij;Akademika Volgina;Kaluzhskaja
Smart Realty;Агентство недвижимости;Moskva;19;24;1;40.8;390931.0;15950000;2021;;;Horoshevo-Mnevniki;Shelepihinskaja naberezhnaja;Shelepiha
ZAPAD REALTY - офис Маршала Жукова;Агентство недвижимости;Moskva;22;27;1;36.8;432065.0;15900000;2023;11.0;17.0;Lefortovo;Zolotorozhskij Val;Lefortovo
Анастасия Новоселова;Риелтор;Moskva;6;12;1;40.0;400000.0;16000000;1985;20.0;12.0;Horoshevo-Mnevniki;prospekt Marshala Zhukova;Horoshevo
Физическое лицо;Собственник;Moskva;12;25;1;32.0;496875.0;15900000;2020;20.0;5.0;Aeroport;Leningradskij prospekt;Petrovskij Park
Sminex-Интеко;Застройщик;Moskva;9;14;1;27.0;598148.0;16150000;2023;11.0;6.0;Ramenki;;Minskaja
ЕГСН Продажа;Агентство недвижимости;Moskva;5;8;1;42.9;379953.0;16300000;1935;23.0;8.0;Basmannyj;Zemljanoj Val;Kurskaja
МИЦ;Застройщик;Moskva;11;21;1;202.0;80792.0;16320106;2023;14.0;15.0;Horoshevo-Mnevniki;3-ja Horoshevskaja;Karamyshevskaja
October Group;Застройщик;Moskva;3;11;1;39.2;415578.0;16290679;2026;20.0;;Ramenki;Kinematograficheskij kv-l;Amin'evskaja
Sminex-Интеко;Застройщик;Moskva;9;14;1;27.0;604074.0;16310000;2023;11.0;6.0;Ramenki;;Minskaja
CENTURY 21;Агентство недвижимости;Moskva;5;12;1;35.3;463172.0;16350000;2022;21.0;8.0;Donskoj;4-j Verhnij Mihajlovskij proezd;Shabolovskaja
EstateLiga;Агентство недвижимости;Moskva;34;43;1;43.0;383697.0;16499000;2024;15.0;17.0;Horoshevo-Mnevniki;Shenogina;Shelepiha
МИЦ;Застройщик;Moskva;21;21;1;202.0;81639.0;16491115;2023;14.0;12.0;Horoshevo-Mnevniki;3-ja Horoshevskaja;Zorge
Century 21 Level;Агентство недвижимости;Moskva;15;17;1;35.1;469800.0;16490000;2020;11.0;14.0;Alekseevskij;Novoalekseevskaja;
ФСК Агент;Агентство недвижимости;Moskva;33;47;1;42.0;392857.0;16500000;2023;17.0;13.0;Obruchevskij;Akademika Volgina;Kaluzhskaja
Verges of estate;Агентство недвижимости;Moskva;7;29;1;34.0;482352.0;16400000;2022;22.0;;Mozhajskij;pereulok 2-j Petra Alekseeva;Rabochij poselok
Основа;Застройщик;Moskva;5;31;1;39.49;420000.0;16585800;2024;;13.0;Marfino;;Vladykino
КРОСТ;Застройщик;Moskva;32;46;1;42.5;390000.0;16575000;2023;;13.0;Horoshevo-Mnevniki;Generala Glagoleva;Karamyshevskaja
OXE CAPITAL - Элитная Недвижимость;Агентство недвижимости;Moskva;1;25;1;44.0;377272.0;16600000;2019;33.0;;Troparevo-Nikulino;Nikulinskaja;Ozernaja
494 УНР;Застройщик;Moskva;11;11;1;45.6;369298.0;16840000;2011;;;Schukino;Marshala Rybalko;Panfilovskaja
Isaev Estate;Агентство недвижимости;Moskva;14;32;1;40.0;417500.0;16700000;2021;20.0;10.0;Hovrino;Dybenko;Hovrino
Диамантъ;Агентство недвижимости;Moskva;9;23;1;69.6;242816.0;16900000;2007;25.0;20.0;Nagornyj;Varshavskoe shosse;Varshavskaja
КРОСТ;Застройщик;Moskva;35;46;1;43.8;387000.0;16950600;2023;;13.0;Horoshevo-Mnevniki;Generala Glagoleva;Karamyshevskaja
Prime Life Development;Застройщик;Moskva;11;25;1;39.69;427526.0;16968545;2025;12.0;16.0;Nagatino-Sadovniki;Nagatinskaja;Nagatinskaja
НДВ;Агентство недвижимости;Moskva;47;47;1;33.0;515151.0;17000000;2011;;7.0;Horoshevo-Mnevniki;prospekt Marshala Zhukova;Narodnoe Opolchenie
Пионер;Застройщик;Moskva;6;10;1;43.01;397277.0;17086926;2024;24.0;7.0;Moskvorech'e-Saburovo;;Kashirskaja
КОРТРОС;Агентство недвижимости;Moskva;12;34;1;46.0;373913.0;17200000;2022;15.0;16.0;Ostankinskij;Godovikova;Alekseevskaja
Инград;Застройщик;Moskva;12;26;1;38.7;452485.0;17511171;2023;16.0;11.0;Danilovskij;Vostochnaja;Avtozavodskaja
Пионер;Застройщик;Moskva;21;24;1;44.87;391101.0;17548715;2024;26.0;7.0;Moskvorech'e-Saburovo;;Varshavskaja
Century 21 Premium Property;Агентство недвижимости;Moskva;26;28;1;42.0;414285.0;17400000;2020;16.0;11.0;Mozhajskij;pereulok 2-j Petra Alekseeva;Rabochij poselok
Азбука Жилья;Агентство недвижимости;Moskva;10;11;1;50.8;344488.0;17500000;2017;15.0;12.0;Losinoostrovskij;Izumrudnaja;Babushkinskaja
Владис;Агентство недвижимости;Moskva;15;15;1;48.0;364583.0;17500000;2017;24.0;10.0;Kuntsevo;Jartsevskaja;Molodezhnaja
Elite Real Estate Moscow;Агентство недвижимости;Moskva;7;41;1;41.0;426829.0;17500000;2024;14.0;14.0;Presnenskij;Shmitovskij proezd;Shelepiha
ZAPAD REALTY - офис Маршала Жукова;Агентство недвижимости;Moskva;2;41;1;43.3;404157.0;17500000;2024;15.0;17.0;Horoshevo-Mnevniki;Shenogina;Shelepiha
SRG;Агентство недвижимости;Moskva;26;30;1;41.2;429611.0;17700000;2021;12.0;18.0;Hovrino;Dybenko;Hovrino
Estes;Агентство недвижимости;Moskva;28;42;1;46.0;384782.0;17700000;2023;16.0;17.0;Kotlovka;Sevastopol'skij prospekt;Krymskaja
October Group;Застройщик;Moskva;7;11;1;39.5;452727.0;17882734;2026;19.0;;Ramenki;Kinematograficheskij kv-l;Amin'evskaja
Э.К. Девелопмент;Застройщик;Moskva;3;25;1;40.2;444999.0;17889000;2022;;;Horoshevskij;;Begovaja
ФСК;Застройщик;Moskva;7;43;1;202.0;88037.0;17783496;2023;15.0;10.0;Horoshevo-Mnevniki;;Narodnoe Opolchenie
Алия Алиева;Риелтор;Moskva;6;25;1;55.0;325272.0;17890000;2021;;29.0;Chertanovo Severnoe;Balaklavskij prospekt;Chertanovskaja
MR Group;Застройщик;Moskva;17;49;1;202.0;89499.0;18078989;2025;13.0;3.0;Savelovskij;;Dmitrovskaja
МССЗ;Застройщик;Moskva;4;19;1;45.4;394560.0;17913024;2024;19.0;9.0;Nagatinskij zaton;;Kolomenskaja
Монолит Столица;Агентство недвижимости;Moskva;12;12;1;48.0;375000.0;18000000;2021;20.0;10.0;Savelki;Zelenograd;
НДВ;Агентство недвижимости;Moskva;15;27;1;40.0;450000.0;18000000;2022;13.0;17.0;Schukino;1-j Pehotnyj pereulok;Schukinskaja
Whitewill;Агентство недвижимости;Moskva;5;51;1;40.5;441975.0;17900000;;14.0;17.0;Presnenskij;Shmitovskij proezd;Shelepiha
Eight Estate;Агентство недвижимости;Moskva;10;21;1;45.0;397777.0;17900000;2016;;;Sviblovo;Lazorevyj proezd;Botanicheskij sad
Unique;Агентство недвижимости;Moskva;16;26;1;53.66;335445.0;18000000;2023;;;Nagornyj;Elektrolitnyj proezd;Nagornaja
Regions Development;Застройщик;Moskva;3;17;1;46.12;393303.0;18139141;2024;;;Preobrazhenskoe;;Preobrazhenskaja ploschad'
MR Group;Застройщик;Moskva;31;36;1;202.0;91306.0;18443920;2025;11.0;3.0;Savelovskij;;Dmitrovskaja
ПИК;Застройщик;Moskva;17;20;1;35.7;517223.0;18464896;2022;10.0;16.0;Filevskij park;Bol'shaja Filevskaja;Fili
Sminex-Интеко;Застройщик;Moskva;12;28;1;38.03;485932.0;18480000;2024;11.0;18.0;Marfino;Akademika Koroleva;Butyrskaja
Prime Life Development;Застройщик;Moskva;9;30;1;44.93;414213.0;18610610;2025;14.0;15.0;Nagatino-Sadovniki;Nagatinskaja;Nagatinskaja
Prime Life Development;Застройщик;Moskva;13;28;1;47.93;384990.0;18452611;2025;15.0;18.0;Nagatino-Sadovniki;Nagatinskaja;Nagatinskaja
MR Group;Застройщик;Moskva;7;55;1;42.02;442782.0;18605700;2024;;;Mar'ina roscha;4-ja Mar'inoj roschi;Rizhskaja
Sminex-Интеко;Застройщик;Moskva;2;28;1;43.91;426326.0;18720000;2024;12.0;18.0;Marfino;Akademika Koroleva;Butyrskaja
Группа Эталон;Застройщик;Moskva;8;28;1;46.8;400997.0;18766686;2024;;;Danilovskij;;Nagatinskaja
Владимир Фетискин;Риелтор;Moskva;7;8;1;36.0;519444.0;18699990;1961;;10.0;Hamovniki;Smolenskaja;Smolenskaja
BARNES International Realty;Агентство недвижимости;Moskva;12;14;1;36.6;513661.0;18800000;1972;;8.0;Presnenskij;Bol'shaja Gruzinskaja;Barrikadnaja
BARNES International Realty;Агентство недвижимости;Moskva;13;24;1;39.0;480769.0;18750000;2023;;;Horoshevo-Mnevniki;Shenogina;Shelepiha
Intermark Real Estate - ранее Savills - городская недвижимость;Агентство недвижимости;Moskva;15;41;1;34.7;547550.0;19000000;2023;22.0;4.0;Ramenki;;Luzhniki
Intermark Real Estate - ранее Savills - городская недвижимость;Агентство недвижимости;Moskva;35;35;1;36.48;520833.0;19000000;2023;24.0;4.0;Filevskij park;;Fili
ПИК;Застройщик;Moskva;2;20;1;50.8;380235.0;19315988;2021;15.0;16.0;Filevskij park;Bol'shaja Filevskaja;Fili
Э.К. Девелопмент;Застройщик;Moskva;22;25;1;45.8;420600.0;19263480;2022;;;Horoshevskij;;Begovaja
Whitewill;Агентство недвижимости;Moskva;6;22;1;43.0;448837.0;19300000;2023;15.0;19.0;Danilovskij;Arhitektora Leonidova;ZIL
ФСК;Застройщик;Moskva;14;47;1;202.0;96419.0;19476800;2023;14.0;10.0;Obruchevskij;;Kaluzhskaja
Группа Эталон;Застройщик;Moskva;14;35;1;46.1;422823.0;19492167;2026;;;Danilovskij;;Tehnopark
ATLANT;Агентство недвижимости;Moskva;2;9;1;35.0;557142.0;19500000;1963;18.0;8.0;Hamovniki;Komsomol'skij prospekt;Frunzenskaja
ЦАН;Агентство недвижимости;Moskva;12;26;1;38.0;513157.0;19500000;2023;12.0;18.0;Ostankinskij;Dubovoj Roschi;Butyrskaja
Forma;Застройщик;Moskva;2;20;1;202.0;97476.0;19690335;2025;15.0;20.0;Aeroport;Chasovaja;Krasnyj Baltiets
Владис;Агентство недвижимости;Moskva;7;36;1;43.0;455813.0;19600000;2019;12.0;10.0;Vojkovskij;Golovinskoe shosse;
Мангазея Девелопмент;Застройщик;Moskva;6;21;1;47.6;414520.0;19731152;2023;16.0;16.0;Schukino;Schukinskaja;Streshnevo
494 УНР;Застройщик;Moskva;2;9;1;55.62;352922.0;19629526;2011;;;Schukino;Marshala Rybalko;Panfilovskaja
ФСК;Застройщик;Moskva;5;47;1;202.0;97808.0;19757270;2023;15.0;13.0;Obruchevskij;;Kaluzhskaja
Донстрой;Застройщик;Moskva;14;41;1;42.4;464905.0;19712000;2024;12.0;18.0;Horoshevo-Mnevniki;Shelepihinskaja naberezhnaja;Shelepiha
Whitewill;Агентство недвижимости;Moskva;16;28;1;41.2;475728.0;19600000;2023;11.0;22.0;Danilovskij;Dubininskaja;Serpuhovskaja
ФСК;Застройщик;Moskva;4;29;1;202.0;98200.0;19836500;2024;10.0;5.0;Nagatino-Sadovniki;;Nagatinskaja
Донстрой;Застройщик;Moskva;4;13;1;38.1;524900.0;19998690;2024;13.0;14.0;Horoshevo-Mnevniki;Zhiloj kompleks ostrov;Terehovo
Whitewill;Агентство недвижимости;Moskva;31;31;1;44.0;450000.0;19800000;2022;29.0;10.0;Ramenki;Lobachevskogo;Amin'evskaja
Whitewill;Агентство недвижимости;Moskva;4;11;1;43.0;462790.0;19900000;2022;13.0;18.0;Basmannyj;Kazakova;Kurskaja
Intermark Real Estate - ранее Savills - городская недвижимость;Агентство недвижимости;Moskva;13;14;1;48.77;410088.0;20000000;2023;26.0;3.0;Danilovskij;Vostochnaja;Dubrovka
Этажи Москва;Агентство недвижимости;Moskva;54;60;1;40.5;493827.0;20000000;2021;;17.0;Timirjazevskij;Dmitrovskij proezd;
Звездный;Застройщик;Moskva;6;22;1;48.6;424055.0;20609073;2023;;17.0;Ostankinskij;prospekt Mira;VDNH
Wainbridge;Застройщик;Moskva;13;20;1;43.61;458610.0;20000000;2023;;;Levoberezhnyj;Leningradskoe shosse;Belomorskaja
Континент-Недвижимость;Агентство недвижимости;Moskva;19;46;1;35.4;564971.0;20000000;2018;20.0;10.0;Butyrskij;Novodmitrovskaja;Dmitrovskaja
РИЭЛТ ХАУС;Агентство недвижимости;Moskva;3;9;1;31.0;645161.0;20000000;1965;18.0;6.0;Basmannyj;Hohlovskij pereulok;Kitaj-gorod
ДОНСТРОЙ;Застройщик;Moskva;3;48;1;39.7;510969.0;20285509;2025;13.0;14.0;Ramenki;Kinematograficheskij kv-l;Michurinskij prospekt
ФСК Агент;Агентство недвижимости;Moskva;19;49;1;45.4;447136.0;20300000;2023;14.0;18.0;Rostokino;Vil'gel'ma Pika;Botanicheskij sad
Инград;Застройщик;Moskva;4;29;1;42.86;479522.0;20552322;2023;17.0;12.0;Danilovskij;Vostochnaja;Avtozavodskaja
ФСК;Застройщик;Moskva;2;29;1;202.0;101287.0;20460000;2025;12.0;6.0;Nagatino-Sadovniki;Varshavskoe shosse;Nagatinskaja
.Sense;Застройщик;Moskva;4;13;1;39.8;513994.0;20456968;2024;34.0;;Danilovskij;Podol'skoe shosse;Tul'skaja
Физическое лицо;Собственник;Moskva;7;17;1;45.0;455555.0;20500000;2015;22.0;20.0;Filevskij park;Beregovoj proezd;Fili
EstateLiga;Агентство недвижимости;Moskva;8;15;1;41.9;494033.0;20700000;;21.0;4.0;Begovoj;Leningradskij prospekt;
Группа Эталон;Застройщик;Moskva;8;19;1;41.1;504761.0;20745696;2025;;;Zamoskvorech'e;;Paveletskaja
МИЦ;Застройщик;Moskva;2;10;1;202.0;103251.0;20856762;2023;16.0;;Zamoskvorech'e;Stremjannyj pereulok;Paveletskaja
Ключи;Агентство недвижимости;Moskva;17;17;1;38.2;545811.0;20850000;2021;18.0;10.0;Vojkovskij;Staropetrovskij proezd;Vojkovskaja
АЯКС;Агентство недвижимости;Moskva;15;23;1;36.1;581440.0;20990000;2024;14.0;11.0;Horoshevo-Mnevniki;Shenogina;Narodnoe Opolchenie
Валерия Стрельникова;Риелтор;Moskva;20;20;1;50.0;417000.0;20850000;2022;;22.0;Filevskij park;Bol'shaja Filevskaja;Fili
Forma;Застройщик;Moskva;3;20;1;202.0;104981.0;21206277;2025;15.0;21.0;Aeroport;Chasovaja;Krasnyj Baltiets
ФСК;Застройщик;Moskva;41;47;1;202.0;104521.0;21113400;2023;17.0;13.0;Obruchevskij;;Kaluzhskaja
ФСК;Застройщик;Moskva;4;29;1;202.0;104788.0;21167244;2023;9.0;13.0;Rostokino;;Botanicheskij sad
Владис;Агентство недвижимости;Moskva;20;24;1;40.0;525000.0;21000000;2023;14.0;13.0;Horoshevskij;Horoshevskoe shosse;Horoshevskaja
Этажи Москва;Агентство недвижимости;Moskva;2;4;1;47.0;446808.0;21000000;1925;;23.0;Donskoj;Duhovskoj pereulok;Tul'skaja
OXE CAPITAL - Элитная Недвижимость;Агентство недвижимости;Moskva;2;14;1;52.1;406000.0;21152600;2024;;18.0;Danilovskij;Simonovskaja naberezhnaja;Avtozavodskaja
Физическое лицо;Собственник;Moskva;6;11;1;38.0;557894.0;21200000;2023;;15.0;Lefortovo;Zolotorozhskij Val;Ploschad' Il'icha
Инград;Застройщик;Moskva;10;14;1;49.6;431322.0;21393611;2024;18.0;15.0;Danilovskij;;Avtozavodskaja
Verges of estate;Агентство недвижимости;Moskva;41;48;1;50.0;432000.0;21600000;2010;;8.0;Obruchevskij;Leninskij prospekt;Novatorskaja
ZAPAD REALTY - офис Маршала Жукова;Агентство недвижимости;Moskva;31;41;1;47.0;457446.0;21500000;2022;;20.0;Horoshevo-Mnevniki;Shelepihinskaja naberezhnaja;Shelepiha
Иван Усачев;Риелтор;Moskva;2;21;1;47.0;468063.0;21999000;2021;;23.0;Alekseevskij;Novoalekseevskaja;Alekseevskaja
Инград;Застройщик;Moskva;13;14;1;41.8;524642.0;21930056;2024;13.0;13.0;Danilovskij;;Dubrovka
МИР;Агентство недвижимости;Moskva;22;24;1;38.0;576315.0;21900000;2021;15.0;18.0;Fili-Davydkovo;Kastanaevskaja;Kuntsevskaja
Verges of estate;Агентство недвижимости;Moskva;1;51;1;50.0;440000.0;22000000;2010;;6.0;Obruchevskij;Leninskij prospekt;Novatorskaja
СЕДЬМОЕ НЕБО;Агентство недвижимости;Moskva;7;17;1;43.4;506912.0;22000000;2021;;12.0;Alekseevskij;Novoalekseevskaja;Alekseevskaja
.Sense;Застройщик;Moskva;7;13;1;37.7;591410.0;22296159;2024;32.0;;Danilovskij;Podol'skoe shosse;Tul'skaja
Донстрой;Застройщик;Moskva;41;41;1;43.0;514325.0;22115975;2024;18.0;14.0;Horoshevo-Mnevniki;Shelepihinskaja naberezhnaja;Shelepiha
Инград;Застройщик;Moskva;23;29;1;44.29;507280.0;22467446;2023;18.0;12.0;Danilovskij;Vostochnaja;Avtozavodskaja
ФСК;Застройщик;Moskva;25;43;1;202.0;110702.0;22361990;2025;13.0;6.0;Horoshevo-Mnevniki;;Horoshevo
ФСК;Застройщик;Moskva;2;48;1;202.0;111343.0;22491339;2023;14.0;18.0;Rostokino;;Botanicheskij sad
Аеон-Девелопмент;Застройщик;Moskva;4;45;1;202.0;111431.0;22509170;2026;;;Dorogomilovo;Kutuzovskij proezd;Fili
Sezar Group;Застройщик;Moskva;12;25;1;47.4;475200.0;22524480;2024;16.0;18.0;Troparevo-Nikulino;prospekt Vernadskogo;
Life Style;Агентство недвижимости;Moskva;2;6;1;33.6;663690.0;22300000;1931;18.0;;Hamovniki;pereulok Sivtsev Vrazhek;Smolenskaja
.Sense;Застройщик;Moskva;7;13;1;43.2;530752.0;22928511;2024;38.0;;Danilovskij;Podol'skoe shosse;Tul'skaja
NEW ARK;Агентство недвижимости;Moskva;37;40;1;55.4;415162.0;23000000;2012;;;Obruchevskij;Profsojuznaja;Novye Cheremushki
Whitewill;Агентство недвижимости;Moskva;5;11;1;44.0;522727.0;23000000;2022;27.0;10.0;Basmannyj;Kazakova;Kurskaja
Физическое лицо;Собственник;Moskva;4;7;1;50.0;460000.0;23000000;1910;23.0;14.0;Presnenskij;2-ja Brestskaja;Belorusskaja
Группа Родина;Застройщик;Moskva;8;21;1;40.6;573026.0;23264860;2024;13.0;;Rostokino;Sel'skohozjajstvennaja;Botanicheskij sad
MR Group;Застройщик;Moskva;15;57;1;202.0;116223.0;23477107;2023;;;Filevskij park;;Fili
do A.S.A.P.;Агентство недвижимости;Moskva;13;15;1;46.5;509677.0;23700000;2021;;;Ostankinskij;prospekt Mira;Alekseevskaja
ДомЭль Недвижимость. Отделение на Серпуховской. 8 отдел;Агентство недвижимости;Moskva;8;38;1;49.0;487755.0;23900000;2015;24.0;8.0;Rostokino;prospekt Mira;VDNH
Капиталъ-Недвижимость;Агентство недвижимости;Moskva;7;11;1;41.0;585365.0;24000000;;;;Tverskoj;2-ja Brestskaja;Majakovskaja
РЕНТАВЕД;Агентство недвижимости;Moskva;27;33;1;34.5;695507.0;23995000;2023;16.0;10.0;Horoshevo-Mnevniki;Prichal'nyj proezd;Shelepiha
ДОНСТРОЙ;Застройщик;Moskva;22;48;1;46.6;520450.0;24252970;2025;11.0;18.0;Ramenki;Kinematograficheskij kv-l;Michurinskij prospekt
Инград;Застройщик;Moskva;6;19;1;52.66;465350.0;24505351;2024;14.0;14.0;Danilovskij;;Avtozavodskaja
GloraX;Застройщик;Moskva;2;21;1;53.3;458911.0;24459999;2024;15.0;24.0;Begovoj;1-ja Jamskogo Polja;Belorusskaja
ФСК;Застройщик;Moskva;20;26;1;202.0;121467.0;24536460;2025;13.0;6.0;Horoshevo-Mnevniki;;Horoshevo
ДОНСТРОЙ;Застройщик;Moskva;24;49;1;43.9;557231.0;24462441;2025;12.0;18.0;Ramenki;Kinematograficheskij kv-l;Michurinskij prospekt
Группа Эталон;Застройщик;Moskva;14;19;1;42.8;574271.0;24578833;2025;;;Zamoskvorech'e;;Paveletskaja
Whitewill;Агентство недвижимости;Moskva;2;19;1;43.5;563218.0;24500000;;14.0;17.0;Horoshevo-Mnevniki;Shelepihinskaja naberezhnaja;Shelepiha
